BuyerFirstName,BuyerLastName,BuyerPhone,HomeDelivery,PriceDelivery,Wilaya,AgenceWilaya,Commune,Agence,Adress,Products,NumCommunde,PackagePrice,changeProduct,freeDelivery,ProductsChanges
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
saad,meddah,665800674,true,500,4,agence de alger,23,sdfa,fsafs fsdfasdfs,fsafdsfasfsdf jslkfajs lkfjlksjf ajskfd,2334,2344,false,true,false
